,Timestamp,Emotion,Emotion_Value
0,2021-11-20 20:57:37.601751,neutral,0.999
1,2021-11-20 20:57:38.007819,neutral,0.993
2,2021-11-20 20:57:38.417776,neutral,0.999
3,2021-11-20 20:57:38.814786,neutral,0.992
4,2021-11-20 20:57:39.202925,neutral,0.993
5,2021-11-20 20:57:39.630000,neutral,0.991
6,2021-11-20 20:57:40.061221,neutral,0.995
7,2021-11-20 20:57:40.513789,neutral,0.978
8,2021-11-20 20:57:40.903915,neutral,0.969
9,2021-11-20 20:57:41.290620,neutral,0.966
10,2021-11-20 20:57:41.694945,neutral,0.998
11,2021-11-20 20:57:42.094914,neutral,0.998
12,2021-11-20 20:57:42.581434,neutral,0.998
13,2021-11-20 20:57:43.272052,neutral,0.999
14,2021-11-20 20:57:43.677792,neutral,0.999
15,2021-11-20 20:57:44.078532,neutral,0.996
16,2021-11-20 20:57:44.633859,neutral,0.998
17,2021-11-20 20:57:45.069619,neutral,0.999
18,2021-11-20 20:57:45.515288,neutral,0.998
19,2021-11-20 20:57:45.909832,neutral,0.998
20,2021-11-20 20:57:46.399242,neutral,0.998
21,2021-11-20 20:57:46.828845,neutral,0.999
22,2021-11-20 20:57:47.246158,neutral,0.999
23,2021-11-20 20:57:47.678401,neutral,0.998
24,2021-11-20 20:57:48.167550,neutral,0.998
25,2021-11-20 20:57:48.610843,neutral,0.998
26,2021-11-20 20:57:49.002608,neutral,0.998
27,2021-11-20 20:57:49.406600,neutral,0.999
28,2021-11-20 20:57:49.808040,neutral,0.998
29,2021-11-20 20:57:50.241482,neutral,0.999
30,2021-11-20 20:57:50.647116,neutral,0.999
31,2021-11-20 20:57:51.082102,neutral,0.998
32,2021-11-20 20:57:51.492971,neutral,0.999
33,2021-11-20 20:57:51.900754,neutral,0.998
34,2021-11-20 20:57:52.304410,neutral,0.998
35,2021-11-20 20:57:52.749626,neutral,0.996
36,2021-11-20 20:57:53.269617,neutral,0.998
37,2021-11-20 20:57:53.698595,neutral,0.998
38,2021-11-20 20:57:54.185013,neutral,0.999
39,2021-11-20 20:57:54.646500,neutral,0.999
40,2021-11-20 20:57:55.091909,neutral,0.999
41,2021-11-20 20:57:55.495740,neutral,0.999
42,2021-11-20 20:57:55.910632,neutral,0.999
43,2021-11-20 20:57:56.328962,neutral,0.999
44,2021-11-20 20:57:56.723663,neutral,0.999
45,2021-11-20 20:57:57.159335,neutral,0.999
46,2021-11-20 20:57:57.575833,neutral,1.0
47,2021-11-20 20:57:57.954754,neutral,1.0
48,2021-11-20 20:57:58.385572,neutral,0.999
49,2021-11-20 20:57:58.792885,neutral,0.999
50,2021-11-20 20:57:59.189911,neutral,0.999
51,2021-11-20 20:57:59.601610,neutral,0.999
52,2021-11-20 20:58:00.028042,neutral,0.996
53,2021-11-20 20:58:00.421967,neutral,0.998
54,2021-11-20 20:58:01.105742,neutral,0.998
55,2021-11-20 20:58:01.502203,neutral,0.998
56,2021-11-20 20:58:01.903952,neutral,0.999
57,2021-11-20 20:58:02.353862,neutral,0.999
58,2021-11-20 20:58:02.762388,neutral,0.998
59,2021-11-20 20:58:03.194367,neutral,0.999
60,2021-11-20 20:58:03.638256,neutral,0.998
61,2021-11-20 20:58:04.015288,neutral,0.999
62,2021-11-20 20:58:04.555520,neutral,0.997
63,2021-11-20 20:58:04.951221,neutral,0.997
64,2021-11-20 20:58:05.333419,neutral,0.998
65,2021-11-20 20:58:05.737775,neutral,0.996
66,2021-11-20 20:58:06.192061,neutral,0.998
67,2021-11-20 20:58:06.588812,neutral,1.0
68,2021-11-20 20:58:07.035687,neutral,0.999
69,2021-11-20 20:58:07.497673,neutral,0.998
70,2021-11-20 20:58:07.887159,neutral,0.992
71,2021-11-20 20:58:08.353131,neutral,0.998
72,2021-11-20 20:58:08.798696,neutral,0.996
73,2021-11-20 20:58:09.310751,neutral,0.992
74,2021-11-20 20:58:09.752890,neutral,0.981
75,2021-11-20 20:58:10.150073,neutral,0.874
76,2021-11-20 20:58:10.481859,not paying attention,1.0
77,2021-11-20 20:58:10.666405,not paying attention,1.0
78,2021-11-20 20:58:10.855520,not paying attention,1.0
79,2021-11-20 20:58:11.136138,not paying attention,1.0
80,2021-11-20 20:58:11.333726,not paying attention,1.0
81,2021-11-20 20:58:11.567852,not paying attention,1.0
82,2021-11-20 20:58:11.983207,neutral,0.963
83,2021-11-20 20:58:12.380694,neutral,0.95
84,2021-11-20 20:58:12.879844,neutral,0.992
85,2021-11-20 20:58:13.072834,not paying attention,1.0
86,2021-11-20 20:58:13.257137,not paying attention,1.0
87,2021-11-20 20:58:13.508522,not paying attention,1.0
88,2021-11-20 20:58:13.694798,not paying attention,1.0
89,2021-11-20 20:58:13.956296,not paying attention,1.0
90,2021-11-20 20:58:14.129847,not paying attention,1.0
91,2021-11-20 20:58:14.318471,not paying attention,1.0
92,2021-11-20 20:58:14.558032,not paying attention,1.0
93,2021-11-20 20:58:14.749664,not paying attention,1.0
94,2021-11-20 20:58:14.932286,not paying attention,1.0
95,2021-11-20 20:58:15.151170,not paying attention,1.0
96,2021-11-20 20:58:15.343681,not paying attention,1.0
97,2021-11-20 20:58:15.529236,not paying attention,1.0
98,2021-11-20 20:58:15.807544,not paying attention,1.0
99,2021-11-20 20:58:15.994356,not paying attention,1.0
100,2021-11-20 20:58:16.175782,not paying attention,1.0
101,2021-11-20 20:58:16.474167,not paying attention,1.0
102,2021-11-20 20:58:16.665933,not paying attention,1.0
103,2021-11-20 20:58:16.958852,not paying attention,1.0
104,2021-11-20 20:58:17.144666,not paying attention,1.0
105,2021-11-20 20:58:17.329996,not paying attention,1.0
106,2021-11-20 20:58:17.619208,not paying attention,1.0
107,2021-11-20 20:58:17.803085,not paying attention,1.0
108,2021-11-20 20:58:17.997747,not paying attention,1.0
109,2021-11-20 20:58:18.279351,not paying attention,1.0
110,2021-11-20 20:58:18.463802,not paying attention,1.0
111,2021-11-20 20:58:18.648431,not paying attention,1.0
112,2021-11-20 20:58:18.867579,not paying attention,1.0
113,2021-11-20 20:58:19.049677,not paying attention,1.0
114,2021-11-20 20:58:19.459481,neutral,0.99
115,2021-11-20 20:58:19.976472,neutral,0.996
116,2021-11-20 20:58:20.368274,neutral,0.992
117,2021-11-20 20:58:20.894162,neutral,0.997
118,2021-11-20 20:58:21.308635,neutral,0.998
119,2021-11-20 20:58:21.766695,neutral,0.998
120,2021-11-20 20:58:22.164288,neutral,1.0
121,2021-11-20 20:58:22.404865,not paying attention,1.0
122,2021-11-20 20:58:22.580381,not paying attention,1.0
123,2021-11-20 20:58:22.769509,not paying attention,1.0
124,2021-11-20 20:58:22.993264,not paying attention,1.0
125,2021-11-20 20:58:23.179374,not paying attention,1.0
126,2021-11-20 20:58:23.361611,not paying attention,1.0
127,2021-11-20 20:58:23.565777,not paying attention,1.0
128,2021-11-20 20:58:23.761938,not paying attention,1.0
129,2021-11-20 20:58:23.960480,not paying attention,1.0
130,2021-11-20 20:58:24.171999,not paying attention,1.0
131,2021-11-20 20:58:24.360373,not paying attention,1.0
132,2021-11-20 20:58:24.536452,not paying attention,1.0
133,2021-11-20 20:58:24.767737,not paying attention,1.0
134,2021-11-20 20:58:24.953561,not paying attention,1.0
135,2021-11-20 20:58:25.186104,not paying attention,1.0
136,2021-11-20 20:58:25.407918,not paying attention,1.0
137,2021-11-20 20:58:25.592221,not paying attention,1.0
138,2021-11-20 20:58:25.818812,not paying attention,1.0
139,2021-11-20 20:58:26.049664,not paying attention,1.0
140,2021-11-20 20:58:26.392811,not paying attention,1.0
141,2021-11-20 20:58:26.588833,not paying attention,1.0
142,2021-11-20 20:58:26.996777,neutral,0.994
143,2021-11-20 20:58:27.435233,neutral,0.981
144,2021-11-20 20:58:27.876925,neutral,0.867
145,2021-11-20 20:58:28.303253,neutral,0.921
146,2021-11-20 20:58:28.493386,not paying attention,1.0
147,2021-11-20 20:58:28.683963,not paying attention,1.0
148,2021-11-20 20:58:28.933523,not paying attention,1.0
149,2021-11-20 20:58:29.116764,not paying attention,1.0
150,2021-11-20 20:58:29.319611,not paying attention,1.0
151,2021-11-20 20:58:29.510657,not paying attention,1.0
152,2021-11-20 20:58:29.688675,not paying attention,1.0
153,2021-11-20 20:58:29.879880,not paying attention,1.0
154,2021-11-20 20:58:30.067893,not paying attention,1.0
155,2021-11-20 20:58:30.264506,not paying attention,1.0
156,2021-11-20 20:58:30.472139,not paying attention,1.0
157,2021-11-20 20:58:30.732560,not paying attention,1.0
158,2021-11-20 20:58:30.927842,not paying attention,1.0
159,2021-11-20 20:58:31.167173,not paying attention,1.0
160,2021-11-20 20:58:31.387525,not paying attention,1.0
161,2021-11-20 20:58:31.575302,not paying attention,1.0
162,2021-11-20 20:58:31.764101,not paying attention,1.0
163,2021-11-20 20:58:31.960209,not paying attention,1.0
164,2021-11-20 20:58:32.153694,not paying attention,1.0
165,2021-11-20 20:58:32.501960,not paying attention,1.0
166,2021-11-20 20:58:32.692232,not paying attention,1.0
167,2021-11-20 20:58:32.894029,not paying attention,1.0
168,2021-11-20 20:58:33.088803,not paying attention,1.0
169,2021-11-20 20:58:33.280577,not paying attention,1.0
170,2021-11-20 20:58:33.640276,not paying attention,1.0
171,2021-11-20 20:58:33.821731,not paying attention,1.0
172,2021-11-20 20:58:34.006713,not paying attention,1.0
173,2021-11-20 20:58:34.295493,not paying attention,1.0
174,2021-11-20 20:58:34.499237,not paying attention,1.0
175,2021-11-20 20:58:34.681828,not paying attention,1.0
176,2021-11-20 20:58:34.895457,not paying attention,1.0
177,2021-11-20 20:58:35.088375,not paying attention,1.0
178,2021-11-20 20:58:35.359514,not paying attention,1.0
179,2021-11-20 20:58:35.561643,not paying attention,1.0
180,2021-11-20 20:58:36.068961,neutral,0.995
181,2021-11-20 20:58:36.264183,not paying attention,1.0
182,2021-11-20 20:58:36.550415,not paying attention,1.0
183,2021-11-20 20:58:36.740494,not paying attention,1.0
184,2021-11-20 20:58:36.928683,not paying attention,1.0
185,2021-11-20 20:58:37.155135,not paying attention,1.0
186,2021-11-20 20:58:37.338042,not paying attention,1.0
187,2021-11-20 20:58:37.529725,not paying attention,1.0
188,2021-11-20 20:58:37.839902,not paying attention,1.0
189,2021-11-20 20:58:38.026095,not paying attention,1.0
190,2021-11-20 20:58:38.217237,not paying attention,1.0
191,2021-11-20 20:58:38.435229,not paying attention,1.0
192,2021-11-20 20:58:38.614710,not paying attention,1.0
193,2021-11-20 20:58:38.802705,not paying attention,1.0
194,2021-11-20 20:58:39.006651,not paying attention,1.0
195,2021-11-20 20:58:39.200019,not paying attention,1.0
196,2021-11-20 20:58:39.400665,not paying attention,1.0
197,2021-11-20 20:58:39.599283,not paying attention,1.0
198,2021-11-20 20:58:39.786107,not paying attention,1.0
199,2021-11-20 20:58:39.967398,not paying attention,1.0
200,2021-11-20 20:58:40.187670,not paying attention,1.0
201,2021-11-20 20:58:40.368593,not paying attention,1.0
202,2021-11-20 20:58:40.559525,not paying attention,1.0
203,2021-11-20 20:58:40.786367,not paying attention,1.0
204,2021-11-20 20:58:40.975735,not paying attention,1.0
205,2021-11-20 20:58:41.169958,not paying attention,1.0
206,2021-11-20 20:58:41.437805,not paying attention,1.0
207,2021-11-20 20:58:41.835918,neutral,0.998
208,2021-11-20 20:58:42.260323,neutral,1.0
209,2021-11-20 20:58:42.671575,neutral,1.0
210,2021-11-20 20:58:43.243164,neutral,0.984
